"site","date","amplitude_ratio","phase_lag","mean_offset","mean_ratio","R2_water","R2_air"
"Bailey Creek",2019-05-12,0.509549288718272,-10.9299446320947,-3.51729583160987,0.664753375802216,0.949698392433209,0.916883865609388
"Bailey Creek",2019-05-13,0.742574374103228,-10.8518995858424,-3.66425416666666,0.678221368459569,0.907689407704382,0.931500140022517
"Bailey Creek",2019-05-14,0.490700161332362,-9.26908226434574,-1.65575833003231,0.829229910042796,0.909071969503002,0.705997597736252
"Bailey Creek",2019-05-15,0.353463646176136,-9.36467570244509,-0.699858334138531,0.920658478895647,0.909819914078892,0.892759362987489
"Bailey Creek",2019-05-16,0.278843367465509,-8.8611855445062,-0.448137499999996,0.949243511090137,0.957481902468079,0.935677099751618
"Bailey Creek",2019-05-17,0.70288580770863,-8.53027567961288,3.8648958284879,1.91930128619231,0.855292353677591,0.63337658182224
"Bailey Creek",2019-05-18,0.445115381826003,-9.85970507205752,3.37776665687746,1.83401645652273,0.904936965411784,0.895587889241834
"Bailey Creek",2019-05-19,0.289781688675744,-8.61448288428531,2.5536874975408,1.53063636312536,0.949053733449679,0.88309756571046
"Bailey Creek",2019-05-20,0.688508035195496,-8.72846507514596,3.40705000042768,1.84385139329478,0.927964170774576,0.761759795009462
"Bailey Creek",2019-05-21,0.303705280830759,-8.19889098491868,2.26862916630871,1.47304170279243,0.929733432811125,0.842443300723164
"Bailey Creek",2019-05-22,0.481520357750851,-9.50218166472162,2.89922916666666,1.63026721014493,0.849936867376574,0.899847607553288
"Bailey Creek",2019-05-23,0.393857886636433,-8.55350618002885,2.52016666716068,1.57060377373599,0.911880615216654,0.947673429224377
"Bailey Creek",2019-05-24,0.34170846711864,-10.4694752920112,1.86344166666667,1.3852075796727,0.966812376635503,0.840353384868468
"Bailey Creek",2019-05-25,0.17036392090005,-8.08960883660274,0.422708333687487,1.06596228874663,0.922483419064642,0.872288419494341
"Bailey Creek",2019-05-26,0.278923723781549,-8.75490328718178,0.947558335141111,1.13456449732592,0.959706220969346,0.936427533411855
"Bailey Creek",2019-05-27,0.657038444951576,-8.64837990821924,2.4711583339491,1.42122017059367,0.963114182364904,0.91143584178021
"Bailey Creek",2019-05-28,0.149774956617126,-7.76533790118138,0.899229166666666,1.13199694189602,0.821818570940581,0.906083981620645
"Bailey Creek",2019-05-29,0.322678541241591,-9.14327311324189,1.17230000181728,1.16329193297003,0.962468136479839,0.891168398332414
"Bailey Creek",2019-05-30,0.320566035631497,-8.64042107849891,1.36163333359491,1.16976207795469,0.911647687158424,0.919094380610325
"Bailey Creek",2019-05-31,0.371887762623917,-8.06765077128617,1.60027500091135,1.19595204095278,0.937640752426398,0.92188476537375
"Bailey Creek",2019-06-01,0.264797645032602,-9.73223371053848,0.613629166935883,1.07315996029277,0.85995942373183,0.944233708682178
"Bailey Creek",2019-06-02,0.280807007939634,-8.52330852419568,0.476454167456648,1.05082177786204,0.915852488867104,0.920622348712532
"Bailey Creek",2019-06-03,0.288992045055893,-9.05776041710174,-0.518499998964101,0.950402550909933,0.885855175211453,0.961729532566241
"Bailey Creek",2019-06-04,0.37544124261717,-8.76445470254189,-0.809058334357459,0.929339883468551,0.92954843717582,0.962696742226774
"Bailey Creek",2019-06-05,0.362472713205694,-9.59745399207623,-2.31572915701102,0.827880149370503,0.896187049356812,0.989537647424006
"Bailey Creek",2019-06-06,0.439060382334235,-8.79443014868903,-2.24677916410601,0.83494735247013,0.927967629920091,0.881552846544904
"Bailey Creek",2019-06-07,0.278541807901583,-5.885189482075,1.47781666719904,1.15440835879299,0.911703755095593,0.763854966761665
"Bailey Creek",2019-06-08,0.57562101741447,-8.72796623387239,5.58803750003243,2.39265732089161,0.920678702033263,0.780181183219223
"Bailey Creek",2019-06-09,0.270344969500901,-9.98544319045951,1.98132083349041,1.31242904076064,0.935501196299318,0.968568490145086
"Bailey Creek",2019-06-10,0.336602842528328,-9.7121614117998,-0.981954166632427,0.905163380291602,0.923639751957844,0.934396308346092
"Bailey Creek",2019-06-11,0.420978703683604,-9.20132405398996,-3.04392916571769,0.767712877649078,0.933836664010125,0.914847982121647
"Bailey Creek",2019-06-12,0.352689227597633,-9.04833231453177,-3.78862499878546,0.74386760570522,0.926189385903032,0.960103835970317
"Bailey Creek",2019-06-13,0.638628257054793,-8.4483710515873,-2.57794166865812,0.824281170010234,0.90770993942385,0.853293726456813
"Bailey Creek",2019-06-14,0.333744573986293,-9.527610704894,-2.68557499033969,0.809421053317112,0.892699515715512,0.862551177113233
"Bailey Creek",2019-06-15,0.407355991152954,-9.4728396254647,-3.87066250049135,0.756944269992344,0.955260716945811,0.94357642792332
